fragment_lines,mutation_rounds,trial,start_line,detected,exact_recovery,corrected_groups,confidence
5,0,0,603,False,False,0,0.0
5,1,0,603,False,False,0,0.0
5,2,0,603,False,False,0,0.0
5,3,0,603,False,False,0,0.0
5,0,1,72,False,False,0,0.0
5,1,1,72,False,False,0,0.0
5,2,1,72,False,False,0,0.0
5,3,1,72,False,False,0,0.0
5,0,2,40,False,False,0,0.0
5,1,2,40,False,False,0,0.0
5,2,2,40,False,False,0,0.0
5,3,2,40,False,False,0,0.0
5,0,3,172,False,False,0,0.0
5,1,3,172,False,False,0,0.0
5,2,3,172,False,False,0,0.0
5,3,3,172,False,False,0,0.0
5,0,4,781,True,True,17,0.6667
5,1,4,781,True,True,17,0.6471
5,2,4,781,True,True,8,0.8039
5,3,4,781,False,False,0,0.0
5,0,5,135,True,True,17,0.6667
5,1,5,135,True,True,3,0.9412
5,2,5,135,False,False,0,0.0
5,3,5,135,True,True,10,0.8039
5,0,6,617,False,False,0,0.0
5,1,6,617,False,False,0,0.0
5,2,6,617,False,False,0,0.0
5,3,6,617,False,False,0,0.0
5,0,7,181,True,True,17,0.6667
5,1,7,181,False,False,0,0.0
5,2,7,181,True,True,6,0.8627
5,3,7,181,True,True,7,0.8431
5,0,8,1045,False,False,0,0.0
5,1,8,1045,False,False,0,0.0
5,2,8,1045,False,False,0,0.0
5,3,8,1045,False,False,0,0.0
5,0,9,435,False,False,0,0.0
5,1,9,435,False,False,0,0.0
5,2,9,435,False,False,0,0.0
5,3,9,435,False,False,0,0.0
5,0,10,631,False,False,0,0.0
5,1,10,631,False,False,0,0.0
5,2,10,631,False,False,0,0.0
5,3,10,631,False,False,0,0.0
5,0,11,1147,True,True,17,0.6667
5,1,11,1147,True,True,17,0.6667
5,2,11,1147,False,False,0,0.0
5,3,11,1147,False,False,0,0.0
5,0,12,688,False,False,0,0.0
5,1,12,688,False,False,0,0.0
5,2,12,688,False,False,0,0.0
5,3,12,688,False,False,0,0.0
5,0,13,871,False,False,0,0.0
5,1,13,871,False,False,0,0.0
5,2,13,871,False,False,0,0.0
5,3,13,871,False,False,0,0.0
5,0,14,952,True,True,17,0.6667
5,1,14,952,True,True,1,0.9804
5,2,14,952,True,True,9,0.7843
5,3,14,952,False,False,0,0.0
5,0,15,63,False,False,0,0.0
5,1,15,63,False,False,0,0.0
5,2,15,63,False,False,0,0.0
5,3,15,63,False,False,0,0.0
5,0,16,1187,False,False,0,0.0
5,1,16,1187,False,False,0,0.0
5,2,16,1187,False,False,0,0.0
5,3,16,1187,False,False,0,0.0
5,0,17,589,True,True,17,0.6667
5,1,17,589,True,True,9,0.8235
5,2,17,589,False,False,0,0.0
5,3,17,589,True,True,8,0.8039
5,0,18,958,False,False,0,0.0
5,1,18,958,False,False,0,0.0
5,2,18,958,False,False,0,0.0
5,3,18,958,False,False,0,0.0
5,0,19,77,True,True,17,0.6667
5,1,19,77,True,True,17,0.6471
5,2,19,77,False,False,0,0.0
5,3,19,77,False,False,0,0.0
5,0,20,1174,False,False,0,0.0
5,1,20,1174,False,False,0,0.0
5,2,20,1174,False,False,0,0.0
5,3,20,1174,False,False,0,0.0
5,0,21,63,False,False,0,0.0
5,1,21,63,False,False,0,0.0
5,2,21,63,False,False,0,0.0
5,3,21,63,False,False,0,0.0
5,0,22,147,False,False,0,0.0
5,1,22,147,False,False,0,0.0
5,2,22,147,False,False,0,0.0
5,3,22,147,False,False,0,0.0
5,0,23,153,False,False,0,0.0
5,1,23,153,False,False,0,0.0
5,2,23,153,False,False,0,0.0
5,3,23,153,False,False,0,0.0
5,0,24,657,True,True,17,0.6667
5,1,24,657,True,True,5,0.902
5,2,24,657,True,True,4,0.9216
5,3,24,657,False,False,0,0.0
5,0,25,286,False,False,0,0.0
5,1,25,286,False,False,0,0.0
5,2,25,286,False,False,0,0.0
5,3,25,286,False,False,0,0.0
5,0,26,904,False,False,0,0.0
5,1,26,904,False,False,0,0.0
5,2,26,904,False,False,0,0.0
5,3,26,904,False,False,0,0.0
5,0,27,245,False,False,0,0.0
5,1,27,245,False,False,0,0.0
5,2,27,245,False,False,0,0.0
5,3,27,245,False,False,0,0.0
5,0,28,1145,True,True,17,0.6667
5,1,28,1145,True,True,5,0.902
5,2,28,1145,True,True,9,0.7843
5,3,28,1145,False,False,0,0.0
5,0,29,331,False,False,0,0.0
5,1,29,331,False,False,0,0.0
5,2,29,331,False,False,0,0.0
5,3,29,331,False,False,0,0.0
10,0,0,927,True,True,17,0.6667
10,1,0,927,True,True,6,0.8431
10,2,0,927,True,True,7,0.8431
10,3,0,927,False,False,0,0.0
10,0,1,962,True,True,17,0.6667
10,1,1,962,True,True,3,0.9412
10,2,1,962,True,True,17,0.5686
10,3,1,962,False,False,0,0.0
10,0,2,515,True,True,17,0.6667
10,1,2,515,True,True,5,0.8824
10,2,2,515,True,True,10,0.7843
10,3,2,515,False,False,0,0.0
10,0,3,566,True,True,17,0.6667
10,1,3,566,True,True,4,0.9216
10,2,3,566,False,False,0,0.0
10,3,3,566,False,False,0,0.0
10,0,4,357,True,True,17,0.6667
10,1,4,357,True,True,5,0.902
10,2,4,357,True,True,7,0.8627
10,3,4,357,True,True,10,0.8039
10,0,5,859,True,True,17,0.6667
10,1,5,859,True,True,6,0.8824
10,2,5,859,True,True,6,0.8627
10,3,5,859,True,True,11,0.7255
10,0,6,250,False,False,0,0.0
10,1,6,250,False,False,0,0.0
10,2,6,250,False,False,0,0.0
10,3,6,250,False,False,0,0.0
10,0,7,562,True,True,17,0.6667
10,1,7,562,True,True,2,0.9608
10,2,7,562,False,False,0,0.0
10,3,7,562,False,False,0,0.0
10,0,8,1179,True,True,17,0.6667
10,1,8,1179,True,True,3,0.9412
10,2,8,1179,False,False,0,0.0
10,3,8,1179,False,False,0,0.0
10,0,9,261,False,False,0,0.0
10,1,9,261,False,False,0,0.0
10,2,9,261,False,False,0,0.0
10,3,9,261,False,False,0,0.0
10,0,10,964,True,True,17,0.6667
10,1,10,964,True,True,4,0.9216
10,2,10,964,False,False,0,0.0
10,3,10,964,False,False,0,0.0
10,0,11,472,True,True,17,0.6667
10,1,11,472,True,True,17,0.6471
10,2,11,472,True,True,8,0.8039
10,3,11,472,True,True,8,0.7843
10,0,12,68,False,False,0,0.0
10,1,12,68,False,False,0,0.0
10,2,12,68,False,False,0,0.0
10,3,12,68,False,False,0,0.0
10,0,13,985,True,True,17,0.6667
10,1,13,985,True,True,3,0.9216
10,2,13,985,True,True,11,0.7647
10,3,13,985,False,False,0,0.0
10,0,14,719,True,True,17,0.6667
10,1,14,719,True,True,3,0.9412
10,2,14,719,True,True,17,0.549
10,3,14,719,True,True,8,0.8235
10,0,15,461,True,True,17,0.6667
10,1,15,461,True,True,4,0.9216
10,2,15,461,True,True,8,0.8235
10,3,15,461,False,False,0,0.0
10,0,16,881,True,True,17,0.6667
10,1,16,881,True,True,4,0.9216
10,2,16,881,False,False,0,0.0
10,3,16,881,False,False,0,0.0
10,0,17,163,True,True,17,0.6667
10,1,17,163,True,True,2,0.9608
10,2,17,163,True,True,6,0.8627
10,3,17,163,False,False,0,0.0
10,0,18,77,True,True,17,0.6667
10,1,18,77,True,True,4,0.9216
10,2,18,77,False,False,0,0.0
10,3,18,77,False,False,0,0.0
10,0,19,866,False,False,0,0.0
10,1,19,866,False,False,0,0.0
10,2,19,866,False,False,0,0.0
10,3,19,866,False,False,0,0.0
10,0,20,1070,False,False,0,0.0
10,1,20,1070,False,False,0,0.0
10,2,20,1070,False,False,0,0.0
10,3,20,1070,False,False,0,0.0
10,0,21,1038,True,True,17,0.6667
10,1,21,1038,True,True,4,0.9216
10,2,21,1038,False,False,0,0.0
10,3,21,1038,True,True,7,0.8431
10,0,22,849,True,True,17,0.6667
10,1,22,849,True,True,6,0.8824
10,2,22,849,True,True,17,0.5686
10,3,22,849,False,False,0,0.0
10,0,23,503,True,True,17,0.6667
10,1,23,503,True,True,4,0.9216
10,2,23,503,True,True,5,0.902
10,3,23,503,False,False,0,0.0
10,0,24,17,True,True,17,0.6667
10,1,24,17,True,True,3,0.9412
10,2,24,17,True,True,9,0.8235
10,3,24,17,True,True,11,0.7059
10,0,25,706,False,False,0,0.0
10,1,25,706,False,False,0,0.0
10,2,25,706,False,False,0,0.0
10,3,25,706,False,False,0,0.0
10,0,26,861,True,True,17,0.6667
10,1,26,861,True,True,3,0.9216
10,2,26,861,True,True,8,0.8235
10,3,26,861,False,False,0,0.0
10,0,27,115,False,False,0,0.0
10,1,27,115,False,False,0,0.0
10,2,27,115,False,False,0,0.0
10,3,27,115,False,False,0,0.0
