redundancy,interval_carriers,corruption_rate,fragment_lines,trials,exact_recovery_rate
1,100,0,10,20,1.0
1,100,0,25,20,1.0
1,100,0,50,20,1.0
1,100,0,100,20,1.0
1,100,0,200,20,1.0
1,100,0.05,10,20,0.75
1,100,0.05,25,20,1.0
1,100,0.05,50,20,1.0
1,100,0.05,100,20,1.0
1,100,0.05,200,20,1.0
1,100,0.1,10,20,0.35
1,100,0.1,25,20,0.65
1,100,0.1,50,20,0.9
1,100,0.1,100,20,1.0
1,100,0.1,200,20,1.0
1,100,0.2,10,20,0.15
1,100,0.2,25,20,0.3
1,100,0.2,50,20,0.25
1,100,0.2,100,20,0.2
1,100,0.2,200,20,0.9
1,100,0.35,10,20,0.0
1,100,0.35,25,20,0.0
1,100,0.35,50,20,0.0
1,100,0.35,100,20,0.05
1,100,0.35,200,20,0.1
1,300,0,10,20,0.8
1,300,0,25,20,1.0
1,300,0,50,20,1.0
1,300,0,100,20,1.0
1,300,0,200,20,1.0
1,300,0.05,10,20,0.25
1,300,0.05,25,20,0.65
1,300,0.05,50,20,0.95
1,300,0.05,100,20,1.0
1,300,0.05,200,20,1.0
1,300,0.1,10,20,0.2
1,300,0.1,25,20,0.25
1,300,0.1,50,20,0.55
1,300,0.1,100,20,0.8
1,300,0.1,200,20,1.0
1,300,0.2,10,20,0.05
1,300,0.2,25,20,0.05
1,300,0.2,50,20,0.05
1,300,0.2,100,20,0.2
1,300,0.2,200,20,0.3
1,300,0.35,10,20,0.0
1,300,0.35,25,20,0.0
1,300,0.35,50,20,0.0
1,300,0.35,100,20,0.0
1,300,0.35,200,20,0.0
1,600,0,10,20,0.3
1,600,0,25,20,1.0
1,600,0,50,20,1.0
1,600,0,100,20,1.0
1,600,0,200,20,1.0
1,600,0.05,10,20,0.35
1,600,0.05,25,20,0.35
1,600,0.05,50,20,0.55
1,600,0.05,100,20,0.9
1,600,0.05,200,20,1.0
1,600,0.1,10,20,0.2
1,600,0.1,25,20,0.25
1,600,0.1,50,20,0.45
1,600,0.1,100,20,0.65
1,600,0.1,200,20,0.75
1,600,0.2,10,20,0.0
1,600,0.2,25,20,0.0
1,600,0.2,50,20,0.1
1,600,0.2,100,20,0.0
1,600,0.2,200,20,0.05
1,600,0.35,10,20,0.0
1,600,0.35,25,20,0.0
1,600,0.35,50,20,0.0
1,600,0.35,100,20,0.05
1,600,0.35,200,20,0.0
3,100,0,10,20,1.0
3,100,0,25,20,1.0
3,100,0,50,20,1.0
3,100,0,100,20,1.0
3,100,0,200,20,1.0
3,100,0.05,10,20,1.0
3,100,0.05,25,20,1.0
3,100,0.05,50,20,1.0
3,100,0.05,100,20,1.0
3,100,0.05,200,20,1.0
3,100,0.1,10,20,0.9
3,100,0.1,25,20,1.0
3,100,0.1,50,20,1.0
3,100,0.1,100,20,1.0
3,100,0.1,200,20,1.0
3,100,0.2,10,20,0.3
3,100,0.2,25,20,0.85
3,100,0.2,50,20,1.0
3,100,0.2,100,20,1.0
3,100,0.2,200,20,1.0
3,100,0.35,10,20,0.0
3,100,0.35,25,20,0.0
3,100,0.35,50,20,0.05
3,100,0.35,100,20,0.45
3,100,0.35,200,20,0.55
3,300,0,10,20,0.9
3,300,0,25,20,1.0
3,300,0,50,20,1.0
3,300,0,100,20,1.0
3,300,0,200,20,1.0
3,300,0.05,10,20,0.75
3,300,0.05,25,20,1.0
3,300,0.05,50,20,1.0
3,300,0.05,100,20,1.0
3,300,0.05,200,20,1.0
3,300,0.1,10,20,0.55
3,300,0.1,25,20,0.9
3,300,0.1,50,20,1.0
3,300,0.1,100,20,1.0
3,300,0.1,200,20,1.0
3,300,0.2,10,20,0.25
3,300,0.2,25,20,0.45
3,300,0.2,50,20,0.85
3,300,0.2,100,20,1.0
3,300,0.2,200,20,1.0
3,300,0.35,10,20,0.0
3,300,0.35,25,20,0.0
3,300,0.35,50,20,0.15
3,300,0.35,100,20,0.25
3,300,0.35,200,20,0.25
3,600,0,10,20,0.4
3,600,0,25,20,1.0
3,600,0,50,20,1.0
3,600,0,100,20,1.0
3,600,0,200,20,1.0
3,600,0.05,10,20,0.4
3,600,0.05,25,20,0.9
3,600,0.05,50,20,1.0
3,600,0.05,100,20,1.0
3,600,0.05,200,20,1.0
3,600,0.1,10,20,0.35
3,600,0.1,25,20,0.55
3,600,0.1,50,20,0.95
3,600,0.1,100,20,1.0
3,600,0.1,200,20,1.0
3,600,0.2,10,20,0.2
3,600,0.2,25,20,0.2
3,600,0.2,50,20,0.5
3,600,0.2,100,20,0.75
3,600,0.2,200,20,0.95
3,600,0.35,10,20,0.0
3,600,0.35,25,20,0.0
3,600,0.35,50,20,0.05
3,600,0.35,100,20,0.05
3,600,0.35,200,20,0.2
5,100,0,10,20,1.0
5,100,0,25,20,1.0
5,100,0,50,20,1.0
5,100,0,100,20,1.0
5,100,0,200,20,1.0
5,100,0.05,10,20,1.0
5,100,0.05,25,20,1.0
5,100,0.05,50,20,1.0
5,100,0.05,100,20,1.0
5,100,0.05,200,20,1.0
5,100,0.1,10,20,1.0
5,100,0.1,25,20,1.0
5,100,0.1,50,20,1.0
5,100,0.1,100,20,1.0
5,100,0.1,200,20,1.0
5,100,0.2,10,20,1.0
5,100,0.2,25,20,1.0
5,100,0.2,50,20,1.0
5,100,0.2,100,20,1.0
5,100,0.2,200,20,1.0
5,100,0.35,10,20,0.35
5,100,0.35,25,20,0.95
5,100,0.35,50,20,0.95
5,100,0.35,100,20,1.0
5,100,0.35,200,20,1.0
5,300,0,10,20,0.7
5,300,0,25,20,1.0
5,300,0,50,20,1.0
5,300,0,100,20,1.0
5,300,0,200,20,1.0
5,300,0.05,10,20,0.75
5,300,0.05,25,20,1.0
5,300,0.05,50,20,1.0
5,300,0.05,100,20,1.0
5,300,0.05,200,20,1.0
5,300,0.1,10,20,0.4
5,300,0.1,25,20,1.0
5,300,0.1,50,20,1.0
5,300,0.1,100,20,1.0
5,300,0.1,200,20,1.0
5,300,0.2,10,20,0.6
5,300,0.2,25,20,0.9
5,300,0.2,50,20,1.0
5,300,0.2,100,20,1.0
5,300,0.2,200,20,1.0
5,300,0.35,10,20,0.1
5,300,0.35,25,20,0.35
5,300,0.35,50,20,0.85
5,300,0.35,100,20,0.95
5,300,0.35,200,20,1.0
5,600,0,10,20,0.45
5,600,0,25,20,1.0
5,600,0,50,20,1.0
5,600,0,100,20,1.0
5,600,0,200,20,1.0
5,600,0.05,10,20,0.4
5,600,0.05,25,20,0.95
5,600,0.05,50,20,1.0
5,600,0.05,100,20,1.0
5,600,0.05,200,20,1.0
5,600,0.1,10,20,0.35
5,600,0.1,25,20,0.95
5,600,0.1,50,20,1.0
5,600,0.1,100,20,1.0
5,600,0.1,200,20,1.0
5,600,0.2,10,20,0.4
5,600,0.2,25,20,0.85
5,600,0.2,50,20,1.0
5,600,0.2,100,20,1.0
5,600,0.2,200,20,1.0
5,600,0.35,10,20,0.0
5,600,0.35,25,20,0.35
5,600,0.35,50,20,0.5
5,600,0.35,100,20,0.8
5,600,0.35,200,20,0.95
