attack,rate,redundancy,target_words,trials,exact_recovery_rate
selector_corrupt,0.0,1,250,40,1.0
selector_corrupt,0.0,1,500,40,1.0
selector_corrupt,0.0,1,1000,40,1.0
selector_corrupt,0.0,3,250,40,1.0
selector_corrupt,0.0,3,500,40,1.0
selector_corrupt,0.0,3,1000,40,1.0
selector_corrupt,0.0,5,250,40,1.0
selector_corrupt,0.0,5,500,40,1.0
selector_corrupt,0.0,5,1000,40,1.0
selector_corrupt,0.01,1,250,40,0.95
selector_corrupt,0.01,1,500,40,0.95
selector_corrupt,0.01,1,1000,40,0.95
selector_corrupt,0.01,3,250,40,1.0
selector_corrupt,0.01,3,500,40,1.0
selector_corrupt,0.01,3,1000,40,1.0
selector_corrupt,0.01,5,250,40,1.0
selector_corrupt,0.01,5,500,40,1.0
selector_corrupt,0.01,5,1000,40,1.0
selector_corrupt,0.05,1,250,40,0.35
selector_corrupt,0.05,1,500,40,0.35
selector_corrupt,0.05,1,1000,40,0.35
selector_corrupt,0.05,3,250,40,0.95
selector_corrupt,0.05,3,500,40,0.95
selector_corrupt,0.05,3,1000,40,0.95
selector_corrupt,0.05,5,250,40,1.0
selector_corrupt,0.05,5,500,40,1.0
selector_corrupt,0.05,5,1000,40,1.0
selector_corrupt,0.1,1,250,40,0.2
selector_corrupt,0.1,1,500,40,0.2
selector_corrupt,0.1,1,1000,40,0.2
selector_corrupt,0.1,3,250,40,0.6
selector_corrupt,0.1,3,500,40,0.6
selector_corrupt,0.1,3,1000,40,0.6
selector_corrupt,0.1,5,250,40,1.0
selector_corrupt,0.1,5,500,40,1.0
selector_corrupt,0.1,5,1000,40,1.0
selector_corrupt,0.2,1,250,40,0.05
selector_corrupt,0.2,1,500,40,0.05
selector_corrupt,0.2,1,1000,40,0.05
selector_corrupt,0.2,3,250,40,0.2
selector_corrupt,0.2,3,500,40,0.2
selector_corrupt,0.2,3,1000,40,0.2
selector_corrupt,0.2,5,250,40,0.85
selector_corrupt,0.2,5,500,40,0.85
selector_corrupt,0.2,5,1000,40,0.85
selector_corrupt,0.35,1,250,40,0.0
selector_corrupt,0.35,1,500,40,0.0
selector_corrupt,0.35,1,1000,40,0.0
selector_corrupt,0.35,3,250,40,0.0
selector_corrupt,0.35,3,500,40,0.0
selector_corrupt,0.35,3,1000,40,0.0
selector_corrupt,0.35,5,250,40,0.35
selector_corrupt,0.35,5,500,40,0.35
selector_corrupt,0.35,5,1000,40,0.35
selector_drop,0.0,1,250,40,1.0
selector_drop,0.0,1,500,40,1.0
selector_drop,0.0,1,1000,40,1.0
selector_drop,0.0,3,250,40,1.0
selector_drop,0.0,3,500,40,1.0
selector_drop,0.0,3,1000,40,1.0
selector_drop,0.0,5,250,40,1.0
selector_drop,0.0,5,500,40,1.0
selector_drop,0.0,5,1000,40,1.0
selector_drop,0.01,1,250,40,0.8
selector_drop,0.01,1,500,40,0.8
selector_drop,0.01,1,1000,40,0.8
selector_drop,0.01,3,250,40,1.0
selector_drop,0.01,3,500,40,1.0
selector_drop,0.01,3,1000,40,1.0
selector_drop,0.01,5,250,40,1.0
selector_drop,0.01,5,500,40,1.0
selector_drop,0.01,5,1000,40,1.0
selector_drop,0.05,1,250,40,0.45
selector_drop,0.05,1,500,40,0.45
selector_drop,0.05,1,1000,40,0.45
selector_drop,0.05,3,250,40,1.0
selector_drop,0.05,3,500,40,1.0
selector_drop,0.05,3,1000,40,1.0
selector_drop,0.05,5,250,40,1.0
selector_drop,0.05,5,500,40,1.0
selector_drop,0.05,5,1000,40,1.0
selector_drop,0.1,1,250,40,0.2
selector_drop,0.1,1,500,40,0.2
selector_drop,0.1,1,1000,40,0.2
selector_drop,0.1,3,250,40,0.95
selector_drop,0.1,3,500,40,0.95
selector_drop,0.1,3,1000,40,0.95
selector_drop,0.1,5,250,40,1.0
selector_drop,0.1,5,500,40,1.0
selector_drop,0.1,5,1000,40,1.0
selector_drop,0.2,1,250,40,0.05
selector_drop,0.2,1,500,40,0.05
selector_drop,0.2,1,1000,40,0.05
selector_drop,0.2,3,250,40,0.9
selector_drop,0.2,3,500,40,0.9
selector_drop,0.2,3,1000,40,0.9
selector_drop,0.2,5,250,40,1.0
selector_drop,0.2,5,500,40,1.0
selector_drop,0.2,5,1000,40,1.0
selector_drop,0.35,1,250,40,0.0
selector_drop,0.35,1,500,40,0.0
selector_drop,0.35,1,1000,40,0.0
selector_drop,0.35,3,250,40,0.5
selector_drop,0.35,3,500,40,0.5
selector_drop,0.35,3,1000,40,0.5
selector_drop,0.35,5,250,40,0.95
selector_drop,0.35,5,500,40,0.95
selector_drop,0.35,5,1000,40,0.95
word_delete,0.0,1,250,40,1.0
word_delete,0.0,1,500,40,1.0
word_delete,0.0,1,1000,40,1.0
word_delete,0.0,3,250,40,1.0
word_delete,0.0,3,500,40,1.0
word_delete,0.0,3,1000,40,1.0
word_delete,0.0,5,250,40,1.0
word_delete,0.0,5,500,40,1.0
word_delete,0.0,5,1000,40,1.0
word_delete,0.01,1,250,40,0.825
word_delete,0.01,1,500,40,0.875
word_delete,0.01,1,1000,40,0.85
word_delete,0.01,3,250,40,0.9
word_delete,0.01,3,500,40,0.85
word_delete,0.01,3,1000,40,0.875
word_delete,0.01,5,250,40,1.0
word_delete,0.01,5,500,40,1.0
word_delete,0.01,5,1000,40,1.0
word_delete,0.05,1,250,40,0.4
word_delete,0.05,1,500,40,0.375
word_delete,0.05,1,1000,40,0.375
word_delete,0.05,3,250,40,0.375
word_delete,0.05,3,500,40,0.3
word_delete,0.05,3,1000,40,0.375
word_delete,0.05,5,250,40,0.25
word_delete,0.05,5,500,40,0.25
word_delete,0.05,5,1000,40,0.2
word_delete,0.1,1,250,40,0.275
word_delete,0.1,1,500,40,0.275
word_delete,0.1,1,1000,40,0.325
word_delete,0.1,3,250,40,0.05
word_delete,0.1,3,500,40,0.05
word_delete,0.1,3,1000,40,0.05
word_delete,0.1,5,250,40,0.05
word_delete,0.1,5,500,40,0.05
word_delete,0.1,5,1000,40,0.075
word_delete,0.2,1,250,40,0.025
word_delete,0.2,1,500,40,0.075
word_delete,0.2,1,1000,40,0.05
word_delete,0.2,3,250,40,0.0
word_delete,0.2,3,500,40,0.0
word_delete,0.2,3,1000,40,0.0
word_delete,0.2,5,250,40,0.0
word_delete,0.2,5,500,40,0.0
word_delete,0.2,5,1000,40,0.0
word_delete,0.35,1,250,40,0.0
word_delete,0.35,1,500,40,0.0
word_delete,0.35,1,1000,40,0.0
word_delete,0.35,3,250,40,0.0
word_delete,0.35,3,500,40,0.0
word_delete,0.35,3,1000,40,0.0
word_delete,0.35,5,250,40,0.0
word_delete,0.35,5,500,40,0.0
word_delete,0.35,5,1000,40,0.0
