document,target_words,actual_words,redundancy,original_characters,watermarked_characters,inserted_watermark_characters,original_words,visible_words,visible_text_identical,visible_word_change_count,visible_similarity_ratio
doc-001,250,350,1,2817,2834,17,350,350,True,0,1.0
doc-001,250,350,3,2817,2868,51,350,350,True,0,1.0
doc-001,250,350,5,2817,2902,85,350,350,True,0,1.0
doc-002,250,305,1,2584,2601,17,305,305,True,0,1.0
doc-002,250,305,3,2584,2635,51,305,305,True,0,1.0
doc-002,250,305,5,2584,2669,85,305,305,True,0,1.0
doc-003,500,582,1,4745,4762,17,582,582,True,0,1.0
doc-003,500,582,3,4745,4796,51,582,582,True,0,1.0
doc-003,500,582,5,4745,4830,85,582,582,True,0,1.0
doc-004,500,664,1,5323,5340,17,664,664,True,0,1.0
doc-004,500,664,3,5323,5374,51,664,664,True,0,1.0
doc-004,500,664,5,5323,5408,85,664,664,True,0,1.0
doc-005,1000,1367,1,10089,10106,17,1367,1367,True,0,1.0
doc-005,1000,1367,3,10089,10140,51,1367,1367,True,0,1.0
doc-005,1000,1367,5,10089,10174,85,1367,1367,True,0,1.0
doc-006,1000,1096,1,8436,8453,17,1096,1096,True,0,1.0
doc-006,1000,1096,3,8436,8487,51,1096,1096,True,0,1.0
doc-006,1000,1096,5,8436,8521,85,1096,1096,True,0,1.0
